Blog	how	say	re	know	but	don	do	too	well	once	not	only	one	problem	also	social	media	up	public	bad	better	play	out	than	ever	why	so	hard	things	like	we	if	were	or	was	my	other	looks	what	time	our	company	when	had	talk	their	which	companies	com	your	an	us	where	people	are	by	story	all	service	everyone	support	ve	been	called	years	now	each	whether	day	every	as	wrote	few	months	its	worth	new	first	users	working	then	got	some	important	those	would	help	because	they	d	made	email	them	down	something	very	didn	have	much	less	who	started	best	into	part	month	after	show	seen	before	many	could	off	while	took	put	whole	take	think	right	here	did	from	start	be	going	over	ll	work	will	life	number	look	me	great	including	question	does	has	way	lot	getting	real	doing	can	most	using	around	past	being	there	looking	back	again	everything	need	get	end	went	good	come	two	full	data	design	own	any	someone	use	just	m	keep	light	see	feel	may	make	future	let	making	web	long	year	easy	bit	finally	find	small	always	found	no	different	though	early	project	last	these	run	enough	between	recently	available	her	book	she	talking	through	world	black	doesn	used	often	since	week	during	such	thing	same	actually	go	content	should	worked	never	writing	build	place	another	still	special	want	post	reading	set	next	change	both	coming	might	without	read	least	based	four	isn	really	free	sure	self	human	am	big	stop	days	love	won	answer	online	please	ago	thought	idea	business	information	today	amazon	links	second	john	live	google	art	blog	his	become	times	already	having	against	away	he	anyone	even	call	fact	open	facebook	under	him	twitter	president	private	little	night	tell	makes	million	left	friends	said	probably	tools	car	pretty	death	morning	house	old	york	march	uber	phone	almost	three	trump	internet	money	white	told	man	appeared	site	game	nbsp	app	news	top	home	high	video	youtube	series	according	cambridge	analytica
Latest from Crooks and Liars	10	1	3	3	10	7	8	1	0	1	17	4	1	0	5	1	1	7	0	1	0	0	6	0	1	0	8	0	2	4	18	6	3	7	9	6	2	0	10	3	6	1	3	8	0	5	3	0	1	2	4	1	1	4	6	10	0	11	0	1	2	2	3	2	1	3	0	1	1	1	9	1	0	0	0	0	0	0	0	0	3	0	1	3	3	2	3	3	14	1	1	1	7	0	6	1	3	6	1	0	8	0	1	2	0	3	1	0	1	0	2	3	4	2	3	1	0	2	1	1	1	5	7	0	12	0	3	2	1	4	0	0	3	0	0	0	2	4	5	1	0	0	1	1	8	1	0	0	0	0	3	1	1	3	2	1	4	1	1	2	3	0	1	2	0	4	3	0	2	5	1	0	0	1	1	0	1	0	1	0	0	2	0	0	1	1	1	0	1	0	3	0	0	0	0	3	0	2	2	1	0	0	0	0	4	0	0	1	4	0	1	0	0	2	0	1	0	0	0	1	0	2	0	2	0	0	1	0	2	1	0	0	0	0	0	1	0	1	1	1	6	1	0	1	0	2	1	0	1	0	1	1	0	0	0	1	0	1	1	1	1	0	1	1	3	0	0	0	0	0	0	0	0	17	0	2	1	0	3	0	42	1	4	1	2	2	0	0	4	1	5	0	1	1	1	0	1	2	0	8	1	0	0	0	0	0	3	0	0	2	0	1	0	1	18	3	0	1	2	1	0	0	0	0	0	8	0	0	0	0	1	0	0	4	4
Deadspin	0	2	3	0	5	0	1	2	1	1	4	2	4	0	1	0	0	7	1	1	1	1	5	1	0	1	2	3	0	4	2	1	1	5	4	0	0	0	1	2	5	0	0	1	0	7	0	0	1	7	6	3	0	1	1	0	0	2	0	0	0	4	5	1	1	1	0	1	1	2	5	0	1	1	0	0	3	2	0	0	0	2	7	0	1	1	0	1	3	0	2	1	0	0	1	1	1	4	0	1	6	2	1	1	1	1	3	1	0	1	0	0	3	2	0	1	0	1	0	0	1	0	9	0	3	0	3	0	1	2	0	0	0	0	1	0	0	1	12	0	3	0	0	0	3	1	2	3	0	0	1	0	1	2	1	0	3	1	0	0	1	4	0	1	0	1	1	0	2	3	2	1	0	1	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	2	0	0	0	0	1	1	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	4	0	1	0	0	1	0	0	0	0	1	1	0	0	0	3	1	0	1	0	0	0	0	1	0	0	1	0	23	0	0	1	1	3	2	2	0	0	0	2	0	3	1	0	0	0	1	2	0	0	0	0	6	0	0	2	0	0	0	0	0	8	0	0	0	0	1	0	2	0	1	1	0	0	1	0	0	1	0	2	1	1	0	1	0	0	0	0	0	0	0	1	2	1	0	0	0	1	0	0	1	1	0	2	0	2	1	0	0	0	5	0	0	1	1	1	0	3	0	0	2	0	0
Engadget RSS Feed	2	1	4	0	1	1	3	0	0	0	2	0	4	1	1	3	2	1	2	0	0	2	4	1	0	0	0	0	1	2	1	4	0	3	1	0	0	0	1	1	0	6	0	2	0	2	2	0	0	7	6	4	1	0	3	2	0	4	4	0	0	0	1	0	0	5	0	1	0	1	12	0	1	0	9	0	8	1	4	1	1	0	2	0	1	3	1	0	0	2	0	0	2	0	0	2	0	5	1	0	0	1	3	1	0	1	1	0	0	1	0	0	1	2	0	0	0	0	0	0	0	1	7	0	8	0	1	2	2	5	0	0	1	0	0	1	0	0	13	1	0	1	0	0	4	1	0	1	0	1	1	3	0	0	0	1	1	0	0	0	2	0	2	5	0	0	0	0	3	1	0	0	2	0	0	1	1	0	1	2	1	0	5	2	0	1	0	0	1	0	1	0	0	0	2	4	0	0	0	2	0	7	3	1	1	0	0	0	0	0	2	1	1	1	1	1	0	2	0	1	0	1	0	0	0	1	0	2	2	1	0	0	0	0	2	0	0	3	1	0	0	0	2	0	1	0	3	0	1	1	0	1	0	0	0	0	1	0	0	1	0	0	0	2	6	2	0	1	0	1	0	0	0	4	0	0	1	0	0	1	0	1	1	0	0	0	8	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	2	1	0	0	0	1	2	0	3	0	0	2	1	0	1	0	0	0	0	0	8	0	2	1	0	3	1	1	2	2	0	9	9
Gothamist	4	2	2	0	6	1	5	2	1	1	1	2	8	0	6	0	1	10	1	0	0	1	5	7	4	0	5	1	3	4	9	2	7	3	21	2	2	0	2	5	4	1	7	5	1	5	4	0	0	5	8	4	1	12	8	5	2	4	0	0	1	1	1	2	3	5	0	1	3	1	15	0	1	0	3	0	22	3	0	0	1	1	7	0	1	1	0	5	3	0	2	0	2	8	0	2	0	4	2	0	12	0	5	3	2	6	9	2	2	1	2	1	2	1	1	0	0	1	0	2	4	0	11	2	3	0	8	0	1	2	2	0	0	1	3	1	0	0	8	0	0	0	0	1	6	5	1	1	0	3	3	1	2	4	0	2	7	2	1	2	1	4	0	0	1	2	1	0	2	7	0	1	1	2	0	0	3	0	1	1	0	1	17	0	0	0	0	0	2	0	1	0	0	3	0	11	1	0	1	1	0	0	4	0	2	0	1	1	0	0	4	0	2	3	2	0	0	0	1	0	0	1	0	1	0	0	1	0	3	2	0	1	0	0	1	1	0	3	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	5	2	3	0	0	0	1	0	0	0	0	3	0	3	1	0	1	0	2	0	11	0	1	1	0	3	0	11	1	0	1	0	1	3	2	2	3	3	0	1	7	0	1	4	1	1	1	0	0	0	0	2	3	2	12	3	0	2	0	2	2	11	2	2	3	0	4	0	0	0	13	1	0	3	2	0	1	3	2	3	0	0
The Full Feed from HuffingtonPost.com	0	1	0	0	1	0	0	1	0	0	1	0	2	0	0	0	0	3	0	0	0	0	0	1	0	1	1	0	1	0	1	37	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0	0	0	0	1	0	0	0	1	1	0	0	0	2	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	1	12	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	3	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	24	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	12	0	6	0	0	0	0	0	48	0	0	0	0	0
Joel on Software	1	1	2	2	0	0	2	0	1	0	1	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	4	2	0	0	4	2	0	0	2	2	0	2	0	0	0	0	0	0	0	1	0	0	1	1	4	0	0	0	0	0	0	1	2	1	2	1	0	0	0	0	0	0	0	0	0	0	7	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	1	1	1	0	0	0	0	0	0	2	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	3	0	0	0	0	1	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	10	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0
Kotaku	1	0	1	0	5	0	0	1	3	0	2	1	1	0	1	1	1	3	1	0	0	0	2	0	0	0	1	0	1	2	1	2	1	1	1	2	0	0	4	1	3	2	4	0	0	3	1	0	0	6	3	1	1	2	9	2	1	5	0	0	0	2	3	0	3	4	0	1	1	0	5	0	0	0	1	0	3	0	0	0	0	2	0	0	0	0	0	1	2	2	0	0	1	0	0	0	0	4	0	0	0	0	4	2	1	2	0	0	0	1	0	0	1	1	0	0	2	1	0	0	5	1	4	1	0	2	3	0	1	2	0	1	2	1	1	0	0	0	3	0	2	1	1	0	3	2	1	2	1	0	2	0	1	0	0	0	1	0	2	4	0	1	1	1	0	1	1	0	0	5	0	1	2	1	0	0	2	0	0	0	1	0	1	1	0	0	0	2	0	0	2	0	0	0	0	1	1	0	0	2	1	0	1	0	0	0	0	1	3	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	1	1	0	3	0	0	20	0	0	0	1	0	0	2	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	4	0	0	2	2	0	0	2	0	5	0	0	1	0	0	0	6	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	3	0	0	0	2	0	0	0	1	1	1	0	0	0	1	0	3	0	0	0	0	0	0	15	0	0	3	1	0	0	2	0	2	0	0	0
kottke.org	16	4	9	4	47	13	7	0	9	5	35	10	27	1	13	2	3	22	2	1	5	2	23	13	7	7	27	4	7	29	37	21	18	29	86	33	17	2	27	20	11	6	11	23	1	18	20	0	1	7	35	12	10	24	32	42	8	29	0	4	5	10	20	7	25	15	1	2	5	7	58	4	4	4	12	3	18	15	1	4	10	3	24	2	19	14	2	6	26	13	12	0	18	11	11	10	6	27	14	1	33	3	7	16	5	2	14	7	2	7	7	9	3	6	1	6	7	8	6	5	17	13	46	1	27	4	19	5	22	10	12	2	5	25	4	5	1	1	30	18	3	0	4	4	30	13	2	9	5	10	16	5	10	6	5	3	7	4	2	8	5	11	3	1	5	5	5	3	7	14	13	3	5	15	4	0	8	3	0	6	6	5	13	1	6	1	6	3	7	7	10	6	2	10	5	7	17	2	1	9	5	1	24	22	18	3	14	16	20	0	7	6	6	4	8	8	7	5	4	6	1	2	2	3	4	1	5	8	11	3	5	3	11	3	3	2	4	2	5	4	15	6	2	0	1	11	4	7	3	14	3	4	1	1	8	4	2	4	1	6	4	1	1	0	8	0	0	2	6	3	0	4	2	54	9	9	2	2	1	1	59	2	9	3	1	0	1	6	9	3	2	2	6	5	3	3	1	3	5	17	4	3	0	5	2	2	2	6	1	10	0	0	3	3	4	7	1	3	4	4	0	10	1	204	0	0	1	2	5	16	2	6	1	6	0
Lifehack	11	0	1	1	1	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lifehacker	4	0	5	4	10	2	6	0	1	2	1	3	2	0	1	0	0	1	0	0	4	0	2	4	1	2	5	1	1	2	6	8	1	5	1	4	1	0	11	7	3	0	4	0	1	0	1	0	0	14	6	0	4	3	12	0	1	7	0	0	0	1	1	1	1	4	1	0	3	2	3	0	1	0	1	1	3	2	1	0	0	0	6	5	0	0	1	3	1	0	0	0	2	1	1	1	1	8	1	1	1	0	3	2	1	3	0	1	0	1	0	1	1	1	0	0	1	2	0	0	8	1	4	1	4	3	2	1	2	3	2	0	0	2	1	0	0	1	1	0	1	2	0	1	7	5	0	3	1	0	6	1	3	2	1	1	3	0	0	4	0	0	1	0	0	0	1	0	1	3	2	2	0	1	1	2	8	0	1	0	1	2	1	1	2	0	0	1	3	0	1	0	0	1	0	2	1	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	1	0	1	0	1	2	0	0	6	0	1	1	0	0	3	0	0	4	0	0	0	1	1	0	5	0	0	25	0	1	0	0	0	5	1	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	4	2	0	0	2	0	0	0	0	0	1	0	2	0	0	0	1	0	3	0	1	3	0	2	0	0	0	0	3	0	1	0	0	0	1	2	1	3	0	0	0	0	2	0	0	1	0	1	1	3	0	1	2	2	0	1	0	0	0	0	2	2	0	3	0	0	0	2	0	0	0
Matt Cutts: Gadgets, Google, and SEO	0	0	2	1	4	0	1	1	0	0	1	0	3	1	2	0	0	0	0	0	1	0	1	0	0	0	2	2	0	2	1	1	0	1	5	6	0	0	1	2	0	0	1	0	1	2	0	0	0	2	2	6	0	4	2	0	0	0	6	0	1	4	2	2	2	1	1	0	0	1	3	1	1	1	0	0	0	0	0	1	0	0	4	0	0	1	0	1	2	1	0	0	2	0	0	0	0	1	0	0	1	1	1	0	1	2	1	0	2	0	1	1	1	2	3	0	0	1	0	0	1	0	4	0	0	0	2	0	3	0	0	0	0	1	1	0	0	1	3	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	1	2	1	0	0	0	0	0	0	0	1	0	3	0	0	0	1	0	0	2	0	0	1	2	0	4	1	0	0	0	0	0	0	0	0	0	0	2	4	1	0	0	0	3	0	2	0	0	2	1	2	0	0	0	0	0	2	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	7	0	1	0	0	0	0	1	0	1	4	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
mezzoblue	2	0	1	0	4	0	0	1	1	0	2	0	2	0	1	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	2	0	1	1	3	0	0	1	0	1	0	2	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	3	6	3	0	3	1	0	0	0	0	4	0	1	1	1	0	3	1	0	1	0	1	1	0	0	0	0	0	0	1	0	0	2	0	0	0	1	1	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	2	0	1	0	4	0	0	1	0	1	0	2	0	0	1	1	1	2	1	0	0	1	1	1	0	0	3	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	2	0	0	0	3	2	0	0	0	3	0	0	0	1	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	1	0	0	0	2	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0
Neil Gaiman's Journal	20	2	12	11	47	12	40	19	9	4	61	22	42	0	11	3	4	36	7	5	6	1	54	12	9	4	61	8	49	42	53	62	22	62	110	81	17	4	36	34	8	1	24	42	5	19	31	0	28	25	39	22	23	44	65	71	8	49	0	9	4	31	27	6	22	28	8	1	13	3	52	11	13	7	5	1	40	21	0	4	30	23	35	1	5	38	10	34	48	23	14	3	43	4	22	17	11	66	23	6	48	10	7	14	6	5	12	6	3	18	15	21	10	10	9	17	6	11	7	10	37	20	62	1	104	27	21	20	22	58	8	3	8	64	2	4	1	6	20	8	13	8	2	27	44	9	3	7	2	8	58	1	23	5	6	13	33	2	21	24	5	23	1	0	4	8	12	10	0	22	61	6	5	19	7	9	24	0	8	7	0	11	43	1	17	3	14	6	5	6	11	8	3	6	1	21	14	2	2	7	0	6	12	64	11	11	9	16	1	3	3	2	5	7	4	10	20	9	7	23	1	12	5	12	24	1	6	10	11	2	16	6	15	10	11	5	5	10	4	5	27	2	3	7	8	23	4	11	2	0	20	6	2	23	21	5	5	3	3	28	8	6	0	1	3	5	4	5	1	4	2	12	13	31	2	8	2	5	1	11	50	4	30	1	0	1	3	1	18	3	0	1	9	11	9	5	3	6	9	15	7	0	0	3	6	4	2	11	11	1	0	1	10	8	0	5	18	2	5	11	1	0	0	307	1	2	0	4	4	7	2	7	1	0	0
Oilman	3	0	3	1	1	2	0	2	1	0	1	1	2	0	1	0	0	3	0	0	0	0	1	0	0	2	4	1	0	3	4	2	1	2	1	6	0	0	4	1	1	0	0	2	0	1	0	0	0	0	0	0	0	4	1	3	1	1	0	0	0	2	2	1	1	2	0	0	0	1	4	0	1	2	0	0	3	0	0	0	0	0	3	0	0	2	0	0	1	0	0	0	0	1	0	0	0	3	3	0	0	1	0	1	1	1	0	1	0	0	2	1	1	0	0	0	0	1	1	0	0	1	1	0	1	0	1	0	0	0	1	0	0	4	0	0	0	0	1	2	1	1	0	0	0	1	1	1	1	1	0	0	1	0	0	2	1	0	0	1	0	0	0	0	0	1	1	0	2	2	1	0	0	2	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	1	0	1	1	0	0	0	0	0	4	0	0	0	0	0	0	0	2	2	0	0	2	0	1	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
PerezHilton	1	0	0	0	3	1	1	1	1	0	2	0	2	0	0	1	1	3	0	0	0	0	2	1	1	1	1	1	0	0	5	0	0	1	5	2	0	0	4	2	1	0	0	3	0	3	1	0	0	1	1	0	0	3	2	3	2	0	0	0	0	0	1	0	1	0	0	0	3	1	3	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	2	0	1	0	0	0	0	1	1	2	1	0	1	0	1	1	0	0	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	4	1	2	0	0	1	1	0	0	1	0	1	0	0	3	0	1	0	0	0	0	2	1	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	1	1	0	0	0	0	2	0	0	0	0	0	0	15	0	5	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	1	4	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	1	0	2	0	0	0	0	0	1	1	1	1	0	0	0	0	0	1	9	0	0	1	1	1	0	0	1	0	0	1	1	0	0	1	0	0	2	1	1
plasticbag.org	1	0	2	2	1	1	1	1	0	0	0	0	2	0	0	0	1	2	0	0	1	0	1	0	1	0	1	0	1	2	4	1	0	1	3	3	0	1	0	3	0	2	0	1	0	0	3	0	0	1	0	2	0	4	4	1	1	6	0	0	1	3	2	1	2	1	0	0	1	0	5	1	1	1	1	0	2	0	0	1	0	0	6	0	0	0	0	0	1	1	1	0	3	0	1	1	1	3	1	0	1	0	0	1	0	0	0	0	1	0	2	3	0	1	1	1	3	2	1	1	1	0	2	0	5	5	2	1	0	2	1	2	1	1	1	0	0	0	1	1	0	1	0	1	1	2	0	0	0	2	2	0	0	0	0	1	5	1	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	3	2	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	1	0	1	2	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	6	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Derek Powazek	7	3	7	6	14	4	7	2	2	2	6	1	13	0	2	0	2	11	0	3	0	0	9	2	1	1	7	3	1	9	7	9	2	5	13	22	3	0	9	4	3	1	11	3	3	4	2	0	1	6	5	4	0	2	11	5	3	10	0	1	0	11	8	0	5	10	1	0	2	3	10	1	5	2	1	0	5	3	0	0	7	1	3	0	1	0	0	3	6	2	2	0	2	2	8	1	1	3	1	1	1	2	1	4	2	0	4	3	1	1	1	1	1	1	3	1	0	1	4	4	6	4	5	0	7	4	5	4	3	5	5	1	0	15	5	0	0	0	5	0	1	2	0	1	8	2	1	1	0	0	7	1	2	2	2	1	6	0	3	1	3	9	1	0	1	2	0	0	0	11	12	0	0	3	5	0	1	0	1	0	1	1	4	2	0	0	1	2	4	1	2	0	0	1	0	7	2	0	5	4	0	1	9	6	7	1	1	3	1	0	1	2	1	3	0	0	4	3	0	4	1	1	1	3	2	0	0	3	4	2	1	3	4	0	1	1	2	1	1	0	0	0	0	0	0	2	0	1	1	0	3	1	0	4	1	0	1	2	0	2	1	0	1	0	2	0	0	0	0	2	0	0	1	3	0	1	1	0	1	1	5	0	1	1	0	1	0	1	2	1	0	0	7	2	0	0	0	1	2	3	1	0	1	0	1	2	0	2	0	0	0	0	1	4	0	1	3	1	0	1	0	2	0	0	0	1	2	0	1	0	1	0	0	0	0
ProBlogger	22	0	8	1	1	0	2	2	0	0	1	1	10	0	0	2	0	1	0	0	0	0	4	3	3	1	3	0	2	1	10	6	1	6	2	8	0	0	3	0	8	0	9	0	5	5	3	0	0	34	4	3	1	2	7	6	1	3	2	1	0	7	1	0	2	0	2	0	3	2	2	1	1	2	0	0	8	26	0	0	1	0	1	1	0	0	0	0	5	1	1	0	1	1	1	2	0	4	1	0	4	7	4	0	1	1	3	1	0	0	5	2	0	2	1	0	0	1	2	0	2	1	5	10	4	1	4	2	0	1	0	1	0	2	0	1	3	0	2	0	0	0	0	1	3	3	4	2	2	0	2	1	2	0	0	2	6	0	0	1	0	3	0	0	0	0	0	0	3	2	1	0	0	0	1	0	0	0	0	3	0	0	6	0	1	0	0	0	1	0	0	0	1	0	2	4	2	1	0	3	1	1	5	0	2	1	2	2	0	0	1	2	0	1	0	0	0	0	1	2	1	0	0	2	0	4	0	0	1	0	13	22	1	0	2	0	0	0	2	0	1	0	0	0	2	1	2	0	6	0	0	1	0	0	0	0	2	1	1	1	1	0	2	1	14	4	0	0	0	0	1	0	50	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	20	2	0	0	0	0	0	1	0	0	0	1	0	0	0
Quick Online Tips	11	0	0	0	2	1	0	0	1	0	1	0	0	0	0	5	1	0	0	0	3	0	1	0	1	1	0	0	0	1	2	1	0	0	0	0	0	0	1	0	1	3	0	0	0	1	3	0	1	10	0	0	1	1	4	0	0	8	0	0	0	0	0	2	0	4	0	0	0	0	3	0	0	0	0	0	6	11	1	0	0	0	0	0	0	0	0	0	1	0	0	4	1	0	0	2	0	5	1	0	0	0	4	2	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	3	0	1	0	0	0	0	3	0	0	0	0	1	0	0	0	1	5	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	8	0	0	0	0	1	0	1	0	1	0	1	0	0	5	0	1	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	9	0	1	0	1	0	0	0	2	19	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	9	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	2	0	0	0	0	6	0	0	0	0	0	0	0	0
